Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
IBAGUE LA 28,Celsia,Regulado,1,5640,5640,5640,5640,5640,5640
IBAGUE LA 28,Celsia,Regulado,1,7620,7620,7620,7620,7620,7620
