Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
MONTERIA,Vatia,Regulado,1,23741,23741,23741,23741,23741,23741
PRADO,Vatia,Regulado,1,12366,12366,12366,12366,12366,12366
