Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
CARTAGENA MEDIO MAYOREO,Afinia,Regulado,1,15280,15280,15280,15280,15280,15280
VALLEDUPAR ANDINA,Afinia,Regulado,1,14700,14700,14700,14700,14700,14700
VALLEDUPAR MERCADO,Afinia,Regulado,1,10123,10123,10123,10123,10123,10123
