Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
ITAGUI-LA MAYORISTA,Epm,Regulado,1,6805,6805,6805,6805,6805,6805
ITAGUI-LA MAYORISTA,Epm,Regulado,1,11843,11843,11843,11843,11843,11843
ITAGUI-PDV,Epm,Regulado,1,48120,48120,48120,48120,48120,48120
